Name,Type,Complexity,City,Latitude,Longitude
Clínica Girón,clinic,Low,Colombia,7.062022,-73.163067
Hospital Central San Cristóbal,hospital,Medium,"San Cristóbal, Sector La Concordia",7.7564303,-72.2253757
Hospital La Gloria,hospital,Medium,Colombia,8.7261696,-75.8896369
Salud es Vivir IPS,clinic,Low,Colombia,8.7444422,-75.8844976
Vitalmedikal IPS,clinic,Low,Colombia,8.7465361,-75.8825801
Medical Center,clinic,Low,Colombia,7.907491,-72.4921351
Centro de Psicologia y Terapia IPS,clinic,Low,CUCUTA NORTE DE SANTANDER,7.8997546,-72.4900311
IPS Global Safe Salud,clinic,Low,CUCUTA NORTE DE SANTANDER,7.9038913,-72.491917
hospital local Divino niño,hospital,High,Colombia,7.8849837,-75.6771235
Medical Center,hospital,Medium,Colombia,7.1111061,-75.5511585
Medical Center,clinic,Low,Colombia,7.8961505,-72.4807353
Medical Center,clinic,Low,San José de Cúcuta,7.8963244,-72.4805901
clinica odontologica dental health plus,clinic,Low,Colombia,7.8934404,-72.4827806
Centro Médico San Luis IPS SAS,hospital,Medium,Colombia,7.8937885,-72.4830093
I.PS SAN LUIS,hospital,Medium,Colombia,7.8925196,-72.4815378
UBS Libertad,clinic,Low,Colombia,7.8861305,-72.4763746
